timestamp,open,high,low,close,volume
20250602 14:33,739.0,739.0,739.0,739.0,0
20250603 14:51,658.8,658.8,658.8,658.8,0
20250605 09:17,651.35,651.35,651.35,651.35,0
20250605 09:35,720.15,720.15,720.15,720.15,1
20250606 10:06,697.95,697.95,697.95,697.95,0
20250606 10:11,723.7,723.7,723.7,723.7,3
20250606 10:21,718.9,718.9,718.9,718.9,4
20250606 10:23,742.45,742.45,742.45,742.45,1
20250606 10:49,899.55,902.75,899.55,902.75,2
20250606 14:22,953.5,953.6,953.5,953.6,3
20250609 09:31,995.0,995.0,995.0,995.0,0
20250609 09:34,995.0,995.0,995.0,995.0,1
20250609 09:36,1006.75,1006.75,1006.75,1006.75,1
20250609 12:31,1027.8,1027.8,1027.8,1027.8,1
20250610 14:59,985.2,985.2,985.2,985.2,0
20250611 10:45,1078.5,1080.75,1078.5,1080.75,1
20250611 11:16,1088.1,1101.0,1088.1,1101.0,19
20250611 12:34,1092.75,1092.75,1092.75,1092.75,1
20250612 09:45,1010.0,1010.0,1010.0,1010.0,0
20250612 09:53,1006.9,1006.9,1006.85,1006.85,3
20250612 12:04,918.65,918.65,918.35,918.35,7
20250612 13:27,887.05,887.35,887.05,887.35,6
20250612 13:30,866.95,867.25,866.95,867.25,17
20250612 13:35,849.1,849.1,849.1,849.1,1
20250612 13:37,820.65,820.65,820.65,820.65,1
20250612 13:51,773.65,773.65,773.65,773.65,1
20250612 13:56,808.2,808.2,808.2,808.2,1
20250612 13:57,795.35,801.15,795.35,801.15,2
20250612 14:22,786.8,787.5,786.8,787.5,6
20250612 14:48,806.95,806.95,806.95,806.95,1
20250612 14:49,804.9,805.4,804.9,805.4,17
20250613 09:15,536.65,538.85,486.35,500.5,25
20250613 09:16,493.7,493.7,483.8,489.8,26
20250613 09:17,515.1,527.85,515.1,518.75,33
20250613 09:18,528.7,528.95,527.65,527.7,13
20250613 09:19,535.05,535.35,519.25,519.25,18
20250613 09:20,523.2,523.2,521.95,521.95,2
20250613 09:21,538.65,539.0,523.95,523.95,4
20250613 09:22,519.85,519.85,516.3,516.3,3
20250613 09:23,527.7,531.95,527.7,531.95,2
20250613 09:25,569.1,569.1,549.0,562.7,8
20250613 09:26,546.1,548.3,546.1,548.3,2
20250613 09:27,559.75,568.45,550.75,553.75,12
20250613 09:28,558.65,558.65,558.65,558.65,1
20250613 09:29,545.25,552.05,545.1,552.05,5
20250613 09:30,555.85,555.85,539.05,542.55,6
20250613 09:31,534.4,536.65,532.2,532.2,7
20250613 09:32,525.2,525.2,516.4,516.4,4
20250613 09:33,521.95,523.3,519.4,523.3,4
20250613 09:34,515.65,516.45,504.3,504.3,37
20250613 09:35,507.4,513.4,500.0,510.9,18
20250613 09:36,511.35,524.4,511.35,521.1,6
20250613 09:37,520.9,537.15,520.9,537.15,7
20250613 09:38,539.45,539.45,539.4,539.4,5
20250613 09:39,541.9,542.8,539.0,542.8,11
20250613 09:40,542.8,542.8,542.8,542.8,2
20250613 09:43,542.4,542.4,542.4,542.4,1
20250613 09:44,519.1,519.1,519.1,519.1,1
20250613 09:45,525.0,525.0,515.0,515.0,3
20250613 09:46,518.7,523.8,518.7,523.8,2
20250613 09:48,524.65,525.2,523.55,523.55,6
20250613 09:49,524.3,524.3,524.3,524.3,1
20250613 09:50,538.1,538.1,537.45,537.45,4
20250613 09:51,539.45,539.55,537.7,537.7,3
20250613 09:52,538.5,538.5,538.5,538.5,1
20250613 09:54,552.15,552.15,552.15,552.15,1
20250613 09:55,544.5,553.0,544.5,553.0,2
20250613 09:56,546.85,546.85,543.8,543.8,16
20250613 09:57,548.1,548.55,548.05,548.05,14
20250613 09:58,549.5,549.5,549.5,549.5,1
20250613 10:03,545.7,545.7,545.7,545.7,2
20250613 10:05,540.7,540.7,540.7,540.7,1
20250613 10:11,545.7,545.7,542.55,544.6,3
20250613 10:12,550.0,560.3,550.0,560.3,5
20250613 10:14,545.25,545.25,545.25,545.25,1
20250613 10:15,547.6,547.6,547.6,547.6,1
20250613 10:20,531.3,532.55,524.7,532.4,18
20250613 10:22,540.0,540.0,540.0,540.0,2
