timestamp,open,high,low,close,volume
20250530 10:19,536.0,536.0,536.0,536.0,0
20250530 10:42,537.0,537.0,537.0,537.0,1
20250530 14:16,526.85,526.85,526.85,526.85,1
20250530 14:45,526.55,526.55,526.55,526.55,1
20250530 15:16,523.85,524.2,523.85,524.2,8
20250530 15:18,526.25,526.25,526.25,526.25,9
20250603 15:14,655.6,656.55,655.6,656.55,3
20250603 15:15,655.65,655.65,652.8,652.8,3
20250605 12:26,424.75,424.75,421.2,421.2,9
20250605 12:44,410.75,410.75,410.75,410.75,11
20250605 13:30,463.9,463.9,463.35,463.35,12
20250605 13:32,475.35,475.35,475.35,475.35,1
20250605 14:01,470.55,470.55,470.55,470.55,1
20250605 14:30,474.25,474.25,474.25,474.25,4
20250605 14:51,443.45,443.45,443.45,443.45,1
20250605 14:54,454.45,454.45,454.45,454.45,1
20250605 15:18,462.5,462.5,462.5,462.5,2
20250605 15:19,462.15,462.15,462.15,462.15,1
20250605 15:20,463.75,463.75,463.7,463.7,3
20250606 09:17,488.45,488.45,488.45,488.45,0
20250606 09:18,486.5,486.5,478.95,479.0,3
20250606 09:20,477.5,477.5,477.5,477.5,2
20250606 09:21,475.65,475.65,471.05,471.05,3
20250606 09:25,472.0,472.0,472.0,472.0,17
20250606 09:31,484.55,484.55,484.55,484.55,1
20250606 09:34,501.1,501.1,501.1,501.1,1
20250606 09:50,512.6,512.6,512.6,512.6,15
20250606 09:54,506.25,506.25,506.25,506.25,1
20250606 09:55,503.45,503.45,503.45,503.45,1
20250606 10:04,536.2,536.95,536.2,536.95,4
20250606 10:05,524.4,524.4,524.4,524.4,1
20250606 10:06,506.0,506.0,427.05,427.6,74
20250606 10:07,432.9,432.9,426.6,427.25,17
20250606 10:09,431.45,447.5,431.45,447.5,2
20250606 10:11,454.0,473.7,454.0,473.7,6
20250606 10:13,473.85,473.85,473.85,473.85,1
20250606 10:15,462.6,462.6,462.6,462.6,1
20250606 10:22,464.8,464.8,461.05,461.05,10
20250606 10:23,436.5,436.5,436.5,436.5,1
20250606 10:29,418.25,418.25,418.25,418.25,1
20250606 10:30,417.2,417.2,417.2,417.2,1
20250606 10:31,406.65,409.75,398.55,398.55,5
20250606 10:32,393.1,393.1,393.1,393.1,1
20250606 10:40,374.55,377.15,374.55,377.15,3
20250606 10:41,375.95,375.95,371.85,371.85,23
20250606 10:42,373.8,377.55,363.45,363.45,31
20250606 10:43,365.35,366.75,363.45,364.75,19
20250606 10:44,366.95,366.95,366.95,366.95,1
20250606 10:45,364.7,364.75,364.5,364.75,4
20250606 10:47,363.0,363.0,349.8,349.8,5
20250606 10:48,354.9,354.9,354.9,354.9,1
20250606 10:49,350.05,350.05,345.35,345.35,12
20250606 10:57,352.7,352.7,352.7,352.7,1
20250606 10:58,348.3,348.3,348.3,348.3,1
20250606 11:00,340.0,340.0,340.0,340.0,1
20250606 11:02,335.0,335.0,335.0,335.0,1
20250606 11:03,332.0,332.0,332.0,332.0,1
20250606 11:04,324.0,324.0,324.0,324.0,1
20250606 11:10,330.95,331.5,330.45,331.5,4
20250606 11:11,331.65,335.55,331.65,335.55,2
20250606 11:12,333.55,333.55,332.7,332.7,2
20250606 11:14,333.8,333.8,333.8,333.8,1
20250606 11:17,324.25,324.25,324.25,324.25,1
20250606 11:18,323.55,323.55,319.8,322.85,8
20250606 11:19,324.85,328.2,324.85,328.2,3
20250606 11:22,336.0,337.35,336.0,337.35,2
20250606 11:24,331.2,331.2,331.2,331.2,1
20250606 11:25,326.75,326.75,325.85,325.85,2
20250606 11:27,324.0,325.5,324.0,325.5,2
20250606 11:28,321.45,321.45,321.45,321.45,2
