timestamp,price,volume
2025-07-10 09:17:51+05:30,44.8,75
2025-07-10 09:17:51+05:30,44.6,75
2025-07-10 09:17:52+05:30,45.0,75
2025-07-10 09:17:53+05:30,45.15,150
2025-07-10 09:17:53+05:30,45.4,75
2025-07-10 09:17:54+05:30,46.5,75
2025-07-10 09:17:54+05:30,46.8,150
2025-07-10 09:17:55+05:30,45.75,150
2025-07-10 09:17:56+05:30,45.7,75
2025-07-10 09:17:56+05:30,45.7,150
2025-07-10 09:17:57+05:30,45.6,150
2025-07-10 09:17:58+05:30,45.85,150
2025-07-10 09:17:58+05:30,45.25,75
2025-07-10 09:17:59+05:30,43.9,150
2025-07-10 09:17:59+05:30,43.15,75
2025-07-10 09:18:00+05:30,43.15,75
2025-07-10 09:18:00+05:30,43.65,225
2025-07-10 09:18:01+05:30,44.35,75
2025-07-10 09:18:01+05:30,44.7,225
2025-07-10 09:18:02+05:30,44.0,300
2025-07-10 09:18:03+05:30,44.25,225
2025-07-10 09:18:03+05:30,44.3,225
2025-07-10 09:18:04+05:30,44.0,150
2025-07-10 09:18:04+05:30,44.1,150
2025-07-10 09:18:05+05:30,43.9,75
2025-07-10 09:18:06+05:30,43.7,75
2025-07-10 09:18:06+05:30,43.9,150
2025-07-10 09:18:07+05:30,44.05,75
2025-07-10 09:18:08+05:30,43.55,300
2025-07-10 09:18:08+05:30,43.25,150
2025-07-10 09:18:09+05:30,43.0,150
2025-07-10 09:18:09+05:30,43.25,75
2025-07-10 09:18:10+05:30,43.25,150
2025-07-10 09:18:11+05:30,42.65,150
2025-07-10 09:18:11+05:30,42.8,225
2025-07-10 09:18:12+05:30,42.65,75
2025-07-10 09:18:13+05:30,42.95,75
2025-07-10 09:18:13+05:30,42.8,75
2025-07-10 09:18:14+05:30,42.7,75
2025-07-10 09:18:14+05:30,42.65,150
2025-07-10 09:18:15+05:30,41.75,75
2025-07-10 09:18:16+05:30,41.35,75
2025-07-10 09:18:16+05:30,41.5,75
2025-07-10 09:18:17+05:30,41.05,75
2025-07-10 09:18:18+05:30,40.65,150
2025-07-10 09:18:18+05:30,40.7,75
2025-07-10 09:18:19+05:30,40.5,75
2025-07-10 09:18:19+05:30,40.05,75
2025-07-10 09:18:20+05:30,39.0,75
2025-07-10 09:18:21+05:30,39.3,75
2025-07-10 09:18:21+05:30,39.25,75
2025-07-10 09:18:22+05:30,39.85,600
2025-07-10 09:18:23+05:30,39.5,75
2025-07-10 09:18:23+05:30,40.2,150
2025-07-10 09:18:24+05:30,39.35,75
2025-07-10 09:18:24+05:30,39.15,75
2025-07-10 09:18:25+05:30,39.3,150
2025-07-10 09:18:26+05:30,39.2,75
2025-07-10 09:18:26+05:30,39.0,75
2025-07-10 09:18:27+05:30,39.2,225
2025-07-10 09:18:28+05:30,39.35,75
2025-07-10 09:18:28+05:30,39.55,150
2025-07-10 09:18:29+05:30,39.3,75
2025-07-10 09:18:29+05:30,39.0,150
2025-07-10 09:18:30+05:30,39.0,150
2025-07-10 09:18:30+05:30,38.9,75
2025-07-10 09:18:31+05:30,38.35,75
2025-07-10 09:18:31+05:30,38.2,525
2025-07-10 09:18:32+05:30,38.25,75
2025-07-10 09:18:33+05:30,37.7,75
2025-07-10 09:18:33+05:30,38.0,225
2025-07-10 09:18:34+05:30,37.6,150
2025-07-10 09:18:34+05:30,37.35,75
2025-07-10 09:18:35+05:30,37.1,225
2025-07-10 09:18:36+05:30,36.7,150
2025-07-10 09:18:36+05:30,36.5,150
2025-07-10 09:18:37+05:30,36.7,75
2025-07-10 09:18:38+05:30,37.2,75
2025-07-10 09:18:38+05:30,37.55,75
2025-07-10 09:18:39+05:30,37.1,75
2025-07-10 09:18:39+05:30,37.2,75
2025-07-10 09:18:40+05:30,37.1,75
2025-07-10 09:18:41+05:30,37.5,75
2025-07-10 09:18:41+05:30,37.45,150
2025-07-10 09:18:42+05:30,38.65,75
2025-07-10 09:18:43+05:30,38.25,150
2025-07-10 09:18:43+05:30,38.15,75
2025-07-10 09:18:44+05:30,38.3,75
2025-07-10 09:18:44+05:30,37.85,225
2025-07-10 09:18:45+05:30,37.5,75
2025-07-10 09:18:46+05:30,37.6,150
2025-07-10 09:18:46+05:30,37.6,75
2025-07-10 09:18:47+05:30,37.95,75
2025-07-10 09:18:48+05:30,36.4,150
2025-07-10 09:18:48+05:30,36.2,75
2025-07-10 09:18:49+05:30,37.1,150
2025-07-10 09:18:49+05:30,36.7,75
2025-07-10 09:18:50+05:30,36.8,375
2025-07-10 09:18:51+05:30,36.6,75
2025-07-10 09:18:51+05:30,36.8,600
2025-07-10 09:18:52+05:30,36.65,75
2025-07-10 09:18:53+05:30,37.15,75
2025-07-10 09:18:53+05:30,37.0,150
2025-07-10 09:18:54+05:30,37.05,75
2025-07-10 09:18:54+05:30,37.05,75
2025-07-10 09:18:55+05:30,37.05,75
2025-07-10 09:18:55+05:30,37.3,75
2025-07-10 09:18:56+05:30,37.25,75
2025-07-10 09:18:56+05:30,37.25,300
2025-07-10 09:18:57+05:30,37.5,225
2025-07-10 09:18:58+05:30,37.2,150
2025-07-10 09:18:58+05:30,37.05,75
2025-07-10 09:18:59+05:30,37.95,75
2025-07-10 09:18:59+05:30,37.95,525
2025-07-10 09:19:00+05:30,37.95,525
2025-07-10 09:19:00+05:30,37.25,150
2025-07-10 09:19:01+05:30,36.75,75
2025-07-10 09:19:01+05:30,36.6,75
2025-07-10 09:19:02+05:30,36.8,150
2025-07-10 09:19:03+05:30,36.9,75
2025-07-10 09:19:03+05:30,37.2,75
2025-07-10 09:19:04+05:30,38.0,75
2025-07-10 09:19:04+05:30,38.1,150
2025-07-10 09:19:05+05:30,37.7,75
2025-07-10 09:19:06+05:30,37.5,75
2025-07-10 09:19:06+05:30,37.3,150
2025-07-10 09:19:07+05:30,37.05,150
2025-07-10 09:19:08+05:30,37.1,75
2025-07-10 09:19:08+05:30,37.3,375
2025-07-10 09:19:09+05:30,36.6,75
2025-07-10 09:19:09+05:30,36.65,75
2025-07-10 09:19:10+05:30,36.95,75
2025-07-10 09:19:11+05:30,36.6,75
2025-07-10 09:19:11+05:30,36.65,75
2025-07-10 09:19:12+05:30,36.85,75
2025-07-10 09:19:13+05:30,37.45,75
2025-07-10 09:19:13+05:30,37.65,75
2025-07-10 09:19:14+05:30,38.0,75
2025-07-10 09:19:14+05:30,38.45,75
2025-07-10 09:19:15+05:30,38.6,375
2025-07-10 09:19:16+05:30,38.95,75
2025-07-10 09:19:16+05:30,38.85,75
2025-07-10 09:19:17+05:30,38.15,150
2025-07-10 09:19:18+05:30,38.15,75
2025-07-10 09:19:18+05:30,37.9,75
2025-07-10 09:19:19+05:30,37.9,75
2025-07-10 09:19:19+05:30,37.25,150
2025-07-10 09:19:19+05:30,37.5,225
2025-07-10 09:19:20+05:30,37.6,75
2025-07-10 09:19:21+05:30,37.8,150
2025-07-10 09:19:21+05:30,37.65,75
2025-07-10 09:19:22+05:30,38.8,75
2025-07-10 09:19:23+05:30,39.0,75
2025-07-10 09:19:23+05:30,39.05,225
2025-07-10 09:19:24+05:30,39.2,300
2025-07-10 09:19:24+05:30,39.2,75
2025-07-10 09:19:25+05:30,39.5,225
2025-07-10 09:19:26+05:30,38.85,300
2025-07-10 09:19:26+05:30,38.8,75
2025-07-10 09:19:27+05:30,38.6,75
2025-07-10 09:19:28+05:30,38.5,75
2025-07-10 09:19:28+05:30,38.55,75
2025-07-10 09:19:29+05:30,38.35,75
2025-07-10 09:19:29+05:30,38.35,75
2025-07-10 09:19:30+05:30,38.35,75
2025-07-10 09:19:30+05:30,38.15,75
2025-07-10 09:19:31+05:30,37.9,150
2025-07-10 09:19:31+05:30,37.9,75
2025-07-10 09:19:32+05:30,37.9,300
2025-07-10 09:19:33+05:30,37.8,75
2025-07-10 09:19:33+05:30,37.85,75
2025-07-10 09:19:34+05:30,37.7,75
2025-07-10 09:19:34+05:30,37.75,75
2025-07-10 09:19:35+05:30,38.05,150
2025-07-10 09:19:36+05:30,37.8,75
2025-07-10 09:19:36+05:30,37.75,225
2025-07-10 09:19:37+05:30,37.45,75
2025-07-10 09:19:38+05:30,37.75,75
2025-07-10 09:19:38+05:30,37.65,75
2025-07-10 09:19:39+05:30,37.35,825
2025-07-10 09:19:39+05:30,37.15,75
2025-07-10 09:19:40+05:30,37.0,75
2025-07-10 09:19:41+05:30,37.2,150
2025-07-10 09:19:41+05:30,37.2,75
2025-07-10 09:19:42+05:30,36.7,75
2025-07-10 09:19:43+05:30,36.25,75
2025-07-10 09:19:43+05:30,36.2,75
2025-07-10 09:19:44+05:30,36.2,150
2025-07-10 09:19:44+05:30,36.0,75
2025-07-10 09:19:45+05:30,36.55,450
2025-07-10 09:19:46+05:30,36.15,375
2025-07-10 09:19:46+05:30,36.0,150
2025-07-10 09:19:47+05:30,36.25,150
2025-07-10 09:19:48+05:30,36.05,75
2025-07-10 09:19:48+05:30,36.2,75
2025-07-10 09:19:49+05:30,36.85,450
2025-07-10 09:19:49+05:30,36.6,75
2025-07-10 09:19:50+05:30,35.8,150
2025-07-10 09:19:51+05:30,35.95,150
2025-07-10 09:19:51+05:30,35.9,75
2025-07-10 09:19:52+05:30,36.0,150
2025-07-10 09:19:53+05:30,35.7,75
2025-07-10 09:19:53+05:30,35.4,75
2025-07-10 09:19:54+05:30,36.0,75
2025-07-10 09:19:54+05:30,36.25,75
2025-07-10 09:19:55+05:30,35.7,75
2025-07-10 09:19:56+05:30,36.0,75
2025-07-10 09:19:56+05:30,35.85,75
2025-07-10 09:19:57+05:30,35.65,75
