timestamp,open,high,low,close,volume
20250530 11:58,900.0,900.0,900.0,900.0,0
20250602 13:00,899.15,899.15,899.15,899.15,2
20250602 13:01,891.65,891.75,891.65,891.75,0
20250602 15:00,910.3,910.3,910.3,910.3,1
20250603 10:30,912.0,912.0,912.0,912.0,0
20250603 10:35,912.0,912.0,912.0,912.0,1
20250603 10:54,856.0,856.0,856.0,856.0,1
20250603 12:26,830.8,830.8,830.8,830.8,1
20250603 12:46,829.0,829.0,829.0,829.0,1
20250603 13:06,767.45,767.45,767.45,767.45,1
20250603 13:44,755.0,755.0,755.0,755.0,1
20250603 14:52,760.6,770.0,760.6,770.0,3
20250603 15:02,770.0,770.0,770.0,770.0,1
20250603 15:20,761.65,761.65,761.65,761.65,2
20250603 15:24,741.85,745.35,741.85,745.35,6
20250603 15:26,741.0,741.0,741.0,741.0,13
20250603 15:27,741.0,741.0,741.0,741.0,9
20250603 15:28,741.0,741.0,738.0,738.0,4
20250604 09:16,758.95,758.95,758.95,758.95,0
20250604 09:25,757.0,757.0,757.0,757.0,1
20250604 09:29,756.1,756.1,756.1,756.1,1
20250604 09:30,735.0,735.0,735.0,735.0,1
20250604 09:44,720.0,720.0,720.0,720.0,2
20250604 09:45,720.0,720.0,720.0,720.0,1
20250604 09:47,729.0,729.0,729.0,729.0,1
20250604 09:48,720.0,720.0,720.0,720.0,1
20250604 09:55,730.0,733.3,730.0,733.3,3
20250604 09:57,728.0,728.0,728.0,728.0,1
20250604 09:58,733.3,733.3,733.3,733.3,1
20250604 10:03,740.65,740.7,740.65,740.7,2
20250604 10:07,740.7,740.7,740.7,740.7,1
20250604 10:12,738.1,738.6,735.4,738.5,20
20250604 10:13,732.35,737.05,732.35,737.05,10
20250604 10:14,735.0,735.0,735.0,735.0,5
20250604 10:47,760.0,760.0,760.0,760.0,10
20250604 10:55,751.0,751.0,751.0,751.0,1
20250604 11:10,754.0,754.0,754.0,754.0,1
20250604 11:15,748.0,748.0,748.0,748.0,1
20250604 12:11,769.25,769.25,769.25,769.25,1
20250604 12:23,769.2,769.2,769.2,769.2,1
20250604 12:45,771.1,771.1,771.1,771.1,1
20250604 12:58,765.0,765.0,765.0,765.0,1
20250604 13:39,773.2,773.2,773.2,773.2,1
20250604 13:40,765.0,765.0,765.0,765.0,1
20250604 13:53,773.0,773.0,773.0,773.0,1
20250604 13:54,779.4,779.4,779.4,779.4,1
20250604 14:07,776.25,776.25,776.25,776.25,1
20250604 14:11,775.0,775.0,775.0,775.0,1
20250604 14:15,772.9,772.9,772.9,772.9,1
20250604 14:29,772.0,772.0,772.0,772.0,1
20250604 14:36,773.35,775.0,772.9,772.95,16
20250604 14:44,773.3,773.3,772.9,773.0,10
20250604 14:45,775.0,775.0,775.0,775.0,1
20250604 14:57,784.05,786.5,784.05,785.2,35
20250604 15:12,773.3,773.3,773.3,773.3,1
20250604 15:24,766.1,766.1,766.1,766.1,1
20250605 09:21,776.0,776.0,776.0,776.0,6
20250605 09:24,789.1,793.9,789.1,793.9,2
20250605 09:27,825.0,825.0,825.0,825.0,5
20250605 09:30,837.65,837.65,837.65,837.65,1
20250605 09:35,864.5,864.5,864.5,864.5,1
20250605 09:41,860.0,869.25,860.0,869.25,7
20250605 09:44,850.05,850.05,850.05,850.05,1
20250605 09:45,865.0,868.2,865.0,868.2,16
20250605 09:50,868.0,868.0,868.0,868.0,1
20250605 09:52,868.0,868.0,868.0,868.0,8
20250605 09:59,860.0,860.0,860.0,860.0,1
20250605 10:02,860.7,867.05,860.7,867.05,2
20250605 10:07,850.0,850.0,850.0,850.0,1
20250605 10:20,837.2,837.2,837.2,837.2,2
20250605 10:24,837.45,840.55,837.45,840.55,50
20250605 10:35,830.1,830.1,830.0,830.0,3
20250605 10:52,822.0,822.0,822.0,822.0,1
20250605 10:54,817.9,817.9,817.9,817.9,1
20250605 10:55,812.4,814.1,812.4,814.1,2
20250605 11:01,822.7,822.7,822.7,822.7,1
20250605 11:02,825.0,825.0,825.0,825.0,1
20250605 11:22,838.95,838.95,838.95,838.95,3
20250605 11:25,875.0,875.0,875.0,875.0,1
20250605 11:47,836.65,836.65,836.65,836.65,1
20250605 11:51,837.35,837.35,837.35,837.35,1
20250605 11:54,842.65,842.65,842.65,842.65,1
20250605 11:57,846.0,846.0,845.9,845.9,3
20250605 12:01,870.1,870.1,870.1,870.1,1
20250605 12:03,898.15,898.15,898.15,898.15,5
20250605 12:07,934.9,934.9,934.9,934.9,1
20250605 12:10,936.8,936.8,936.8,936.8,1
20250605 12:11,932.95,932.95,932.95,932.95,24
20250605 12:26,944.8,944.8,944.8,944.8,1
20250605 12:29,937.75,938.2,937.75,938.2,34
20250605 12:34,944.25,944.25,944.25,944.25,4
20250605 12:37,949.0,949.0,949.0,949.0,1
20250605 12:43,953.35,953.35,953.35,953.35,1
20250605 12:45,947.6,947.6,947.6,947.6,2
20250605 12:48,947.65,947.65,947.6,947.6,2
20250605 12:58,928.9,928.9,928.9,928.9,1
20250605 13:03,928.05,928.05,928.05,928.05,6
20250605 13:20,910.0,910.0,910.0,910.0,2
20250605 13:30,898.0,898.0,898.0,898.0,1
20250605 13:41,893.0,893.0,893.0,893.0,1
20250605 14:03,844.95,847.25,844.95,847.0,6
20250605 14:24,854.9,854.9,854.9,854.9,2
20250605 14:28,867.25,871.35,867.25,871.35,3
20250605 14:30,862.0,862.0,862.0,862.0,1
20250605 15:00,879.05,879.1,868.25,868.25,5
20250605 15:13,867.9,867.9,867.9,867.9,1
20250605 15:28,888.25,888.25,880.65,880.65,3
20250606 09:24,838.0,838.0,838.0,838.0,0
20250606 09:25,841.0,841.0,841.0,841.0,1
20250606 09:29,830.0,830.0,820.0,820.0,2
20250606 09:34,800.0,800.0,800.0,800.0,1
20250606 09:40,780.0,784.9,780.0,784.9,3
20250606 09:41,795.0,795.0,795.0,795.0,1
20250606 09:44,780.05,780.05,780.05,780.05,5
20250606 09:47,795.0,795.0,795.0,795.0,1
20250606 09:57,797.6,797.6,797.55,797.55,2
20250606 10:03,780.05,780.05,780.05,780.05,1
20250606 10:04,772.25,772.25,772.25,772.25,12
20250606 10:06,830.0,868.65,830.0,868.65,5
20250606 10:09,876.05,876.05,870.0,870.0,2
20250606 10:10,876.0,876.0,876.0,876.0,1
20250606 10:11,857.05,857.05,857.05,857.05,4
20250606 10:12,821.0,821.0,821.0,821.0,2
20250606 10:23,875.0,885.15,875.0,885.15,3
20250606 10:30,914.0,914.0,914.0,914.0,1
20250606 10:31,921.05,921.05,921.05,921.05,1
20250606 10:33,941.4,941.4,941.4,941.4,1
20250606 10:34,949.0,949.0,949.0,949.0,1
20250606 10:35,943.7,943.7,943.7,943.7,2
20250606 10:39,957.9,957.9,957.9,957.9,2
20250606 10:41,995.0,995.0,995.0,995.0,1
20250606 10:42,996.6,1013.9,992.05,1013.9,6
20250606 10:43,1005.0,1005.0,1005.0,1005.0,1
20250606 10:45,1006.95,1006.95,1006.95,1006.95,1
20250606 10:47,1010.9,1010.9,1010.9,1010.9,3
20250606 10:48,1024.15,1024.15,1024.1,1024.1,3
20250606 10:51,1025.1,1025.1,1025.1,1025.1,2
20250606 10:53,1012.05,1012.05,1012.05,1012.05,1
20250606 10:54,1017.0,1017.0,1017.0,1017.0,1
20250606 10:56,1017.0,1017.0,1017.0,1017.0,1
20250606 10:57,1017.0,1017.0,1017.0,1017.0,1
20250606 10:59,1033.05,1033.05,1033.05,1033.05,1
20250606 11:00,1042.15,1042.15,1042.15,1042.15,1
20250606 11:01,1047.0,1047.0,1047.0,1047.0,1
20250606 11:07,1075.0,1075.0,1075.0,1075.0,1
20250606 11:08,1066.25,1066.25,1066.25,1066.25,1
20250606 11:10,1070.0,1070.0,1070.0,1070.0,1
20250606 11:13,1060.0,1060.0,1060.0,1060.0,3
20250606 11:15,1065.1,1073.9,1065.1,1073.9,2
20250606 11:17,1073.5,1073.5,1073.5,1073.5,1
20250606 11:21,1057.05,1057.05,1057.05,1057.05,1
20250606 11:40,1069.1,1069.1,1069.1,1069.1,1
20250606 11:45,1101.9,1101.9,1101.9,1101.9,1
20250606 11:50,1086.0,1086.0,1086.0,1086.0,1
20250606 12:09,1110.95,1110.95,1106.0,1106.0,2
20250606 12:16,1087.05,1087.05,1087.0,1087.0,4
20250606 12:48,1064.95,1065.0,1064.95,1065.0,2
20250606 12:56,1070.0,1070.0,1070.0,1070.0,2
20250606 13:00,1060.0,1060.0,1060.0,1060.0,1
20250606 13:21,1060.0,1060.0,1060.0,1060.0,1
20250606 13:34,1047.15,1047.15,1047.15,1047.15,1
20250606 13:42,1062.1,1062.1,1062.1,1062.1,1
20250606 14:23,1107.0,1107.0,1104.75,1104.75,4
20250606 14:25,1099.0,1099.0,1099.0,1099.0,1
20250606 14:28,1100.05,1100.05,1100.05,1100.05,1
20250606 14:38,1076.5,1076.5,1076.5,1076.5,1
20250606 14:40,1078.75,1078.75,1078.75,1078.75,1
20250606 14:54,1084.0,1084.0,1084.0,1084.0,1
20250606 15:00,1097.0,1097.0,1097.0,1097.0,1
20250606 15:23,1085.0,1085.0,1085.0,1085.0,1
20250606 15:24,1084.0,1084.0,1084.0,1084.0,1
20250606 15:25,1086.7,1086.75,1086.5,1086.5,6
