timestamp,open,high,low,close,volume
20250529 09:24,191.25,191.25,188.8,188.8,1
20250530 10:33,176.55,176.55,176.55,176.55,0
20250530 10:35,178.4,178.4,178.4,178.4,1
20250530 10:38,181.55,181.55,178.2,178.2,3
20250530 11:07,173.9,173.9,173.9,173.9,1
20250530 11:18,166.05,166.05,166.05,166.05,1
20250530 11:47,170.0,170.0,170.0,170.0,2
20250530 12:42,174.8,174.8,174.8,174.8,1
20250530 13:03,171.85,171.85,171.85,171.85,1
20250530 13:08,171.25,171.25,171.25,171.25,1
20250530 14:00,163.2,163.2,163.2,163.2,1
20250530 14:48,168.0,168.0,168.0,168.0,1
20250530 14:53,166.15,166.15,166.15,166.15,1
20250530 14:59,168.95,168.95,168.95,168.95,1
20250530 15:02,173.05,173.05,173.05,173.05,1
20250530 15:03,174.4,174.4,174.4,174.4,1
20250530 15:06,171.6,171.6,170.95,170.95,2
20250530 15:13,171.3,171.3,171.3,171.3,1
20250530 15:18,168.0,168.0,168.0,168.0,1
20250602 09:19,249.2,249.2,249.2,249.2,0
20250602 09:31,249.2,260.3,249.2,260.3,6
20250602 09:37,251.2,251.2,251.2,251.2,1
20250602 09:47,231.5,231.5,230.9,230.9,5
20250602 09:57,228.3,228.3,228.0,228.0,5
20250602 10:43,221.05,221.05,221.05,221.05,1
20250602 10:46,225.45,225.45,225.45,225.45,1
20250602 11:08,228.7,228.7,227.95,227.95,2
20250602 11:13,230.45,230.45,230.45,230.45,2
20250602 11:15,231.8,231.85,231.8,231.85,3
20250602 11:21,220.7,220.7,220.7,220.7,1
20250602 11:22,220.75,220.75,220.75,220.75,1
20250602 11:26,225.0,225.0,225.0,225.0,1
20250602 11:50,221.65,221.65,221.65,221.65,1
20250602 12:03,215.3,215.3,215.25,215.25,4
20250602 12:16,213.8,213.8,213.8,213.8,2
20250602 12:21,212.7,212.7,212.7,212.7,2
20250602 12:26,217.05,217.05,217.05,217.05,1
20250602 12:45,203.85,203.85,203.85,203.85,2
20250602 12:59,211.7,211.7,211.7,211.7,1
20250602 13:01,207.3,207.3,207.3,207.3,4
20250602 13:17,202.0,202.0,202.0,202.0,1
20250602 13:26,203.55,203.55,203.55,203.55,1
20250602 13:45,196.25,196.25,196.25,196.25,1
20250602 14:25,206.05,206.05,206.05,206.05,3
20250602 14:44,209.35,209.35,209.35,209.35,1
20250602 15:00,191.35,191.35,191.35,191.35,2
20250602 15:01,189.15,189.15,189.15,189.15,2
20250602 15:08,196.65,196.65,196.65,196.65,1
20250602 15:20,204.75,204.75,204.75,204.75,3
20250602 15:27,208.2,208.2,208.2,208.2,1
20250603 09:17,208.15,208.15,208.15,208.15,0
20250603 09:18,208.15,212.6,208.15,212.6,3
20250603 09:19,215.0,215.0,215.0,215.0,1
20250603 09:22,212.65,212.65,212.6,212.6,3
20250603 09:29,222.4,222.4,222.4,222.4,1
20250603 09:36,225.7,225.7,224.15,224.15,5
20250603 09:38,207.15,207.15,207.15,207.15,1
20250603 09:44,219.65,219.65,219.65,219.65,5
20250603 09:49,215.7,215.7,213.5,213.5,3
20250603 09:51,207.8,207.8,207.8,207.8,1
20250603 09:52,208.4,208.4,208.4,208.4,1
20250603 09:57,222.85,222.85,222.85,222.85,1
20250603 10:00,228.0,228.0,228.0,228.0,1
20250603 10:01,228.85,228.85,228.85,228.85,1
20250603 10:10,220.0,220.0,219.85,219.85,2
20250603 10:12,217.5,217.5,215.0,215.0,2
20250603 10:20,197.45,197.45,197.45,197.45,1
20250603 10:21,191.35,191.35,191.35,191.35,1
20250603 10:24,187.95,187.95,187.95,187.95,1
20250603 10:26,189.0,189.0,189.0,189.0,1
20250603 10:27,190.65,191.1,190.65,191.1,4
20250603 10:29,194.05,194.05,194.05,194.05,1
20250603 10:30,194.6,194.6,194.6,194.6,2
20250603 10:35,191.5,197.25,191.5,197.25,2
20250603 10:42,224.05,224.05,224.05,224.05,1
20250603 10:50,210.2,211.65,210.0,210.0,5
20250603 10:53,210.35,210.35,210.35,210.35,1
20250603 10:55,211.8,211.8,211.8,211.8,1
20250603 11:04,219.5,219.5,219.5,219.5,3
20250603 11:05,219.5,219.5,219.5,219.5,1
20250603 11:13,219.5,219.5,219.5,219.5,3
20250603 11:28,228.9,228.9,228.9,228.9,1
20250603 11:34,208.9,208.9,208.9,208.9,1
20250603 12:03,222.9,222.9,222.9,222.9,1
20250603 12:18,238.6,238.6,238.6,238.6,1
20250603 12:37,222.8,222.8,222.8,222.8,4
20250603 12:51,255.4,262.7,255.4,262.7,5
20250603 12:53,272.3,272.3,264.2,264.2,4
20250603 12:54,272.0,272.0,272.0,272.0,1
20250603 12:56,273.05,273.05,273.05,273.05,2
20250603 12:58,267.9,267.9,267.9,267.9,1
20250603 12:59,266.85,271.2,266.85,271.2,2
20250603 13:07,271.0,271.0,271.0,271.0,1
20250603 13:19,250.1,250.1,250.1,250.1,3
20250603 13:20,252.0,252.0,252.0,252.0,1
20250603 13:32,226.4,226.4,226.4,226.4,4
20250603 13:35,222.25,222.25,222.25,222.25,1
20250603 13:42,225.05,225.05,225.05,225.05,3
20250603 13:48,221.15,221.15,221.15,221.15,4
20250603 13:52,212.95,212.95,212.9,212.9,5
20250603 14:09,200.95,201.0,200.95,201.0,3
20250603 14:33,196.1,196.1,196.05,196.05,3
20250603 14:47,198.95,198.95,198.95,198.95,1
20250603 14:55,204.0,204.0,204.0,204.0,1
20250603 14:58,209.45,209.45,209.45,209.45,1
20250603 14:59,204.65,204.65,204.65,204.65,1
20250603 15:10,216.55,216.55,210.65,210.65,24
20250603 15:13,219.75,219.8,219.75,219.8,3
20250603 15:15,221.0,221.0,221.0,221.0,1
20250603 15:17,215.85,215.85,215.85,215.85,1
20250603 15:20,215.6,215.6,214.7,214.7,8
20250603 15:21,220.7,220.7,220.7,220.7,2
20250603 15:22,226.2,226.2,225.15,225.15,4
20250603 15:25,229.9,229.9,229.9,229.9,3
20250604 09:18,200.1,200.1,200.0,200.0,0
20250604 09:19,207.0,212.25,207.0,212.25,2
20250604 09:20,204.45,204.45,204.45,204.45,1
20250604 09:21,201.6,201.6,201.6,201.6,1
20250604 09:25,200.05,200.05,200.0,200.0,2
20250604 09:26,195.85,195.85,195.85,195.85,1
20250604 09:27,190.0,190.0,190.0,190.0,1
20250604 09:30,201.15,201.15,201.15,201.15,1
20250604 09:33,205.0,205.0,205.0,205.0,1
20250604 09:40,205.75,205.75,205.75,205.75,1
20250604 09:41,201.85,201.85,201.85,201.85,1
20250604 09:54,200.0,200.0,200.0,200.0,2
20250604 09:55,195.05,195.05,195.05,195.05,1
20250604 10:01,191.9,191.9,191.9,191.9,2
20250604 10:02,190.0,190.45,190.0,190.45,3
20250604 10:08,187.0,187.0,187.0,187.0,1
20250604 10:09,188.8,190.0,188.8,190.0,2
20250604 10:20,185.95,185.95,185.95,185.95,3
20250604 10:32,182.0,182.0,182.0,182.0,1
20250604 10:33,182.1,182.1,182.1,182.1,3
20250604 10:36,183.5,183.5,183.5,183.5,1
20250604 10:39,183.5,183.5,181.6,181.6,2
20250604 10:43,179.35,179.35,179.35,179.35,7
20250604 10:47,181.0,181.0,181.0,181.0,2
20250604 11:03,179.75,179.75,179.75,179.75,7
20250604 11:05,179.95,179.95,179.95,179.95,1
20250604 11:08,180.45,180.45,180.45,180.45,1
20250604 11:15,182.7,182.7,182.7,182.7,1
20250604 11:18,185.05,185.05,185.05,185.05,1
20250604 11:26,176.0,176.9,176.0,176.9,4
20250604 11:28,176.45,176.45,176.45,176.45,4
20250604 11:35,174.15,174.15,174.15,174.15,2
20250604 11:36,174.1,174.1,174.1,174.1,4
20250604 11:49,179.0,179.0,179.0,179.0,1
20250604 12:00,174.55,174.55,174.55,174.55,1
20250604 12:12,170.85,170.85,170.85,170.85,1
20250604 12:56,170.6,170.6,170.6,170.6,2
20250604 12:58,169.05,169.05,169.05,169.05,1
20250604 13:20,171.9,171.9,171.9,171.9,1
20250604 13:23,170.9,170.9,170.9,170.9,1
20250604 13:33,169.0,169.0,169.0,169.0,1
20250604 13:41,167.75,167.75,167.75,167.75,1
20250604 13:47,166.0,166.0,166.0,166.0,1
20250604 13:49,164.2,164.2,164.2,164.2,1
20250604 13:56,164.2,164.2,164.2,164.2,1
20250604 14:28,163.05,163.05,163.05,163.05,1
20250604 14:50,164.5,164.5,164.5,164.5,1
20250604 15:05,161.45,161.45,161.45,161.45,1
20250604 15:06,162.15,162.15,160.35,160.35,3
20250604 15:08,164.2,164.2,164.2,164.2,1
20250604 15:09,164.5,164.5,164.5,164.5,1
20250604 15:10,166.2,166.2,166.2,166.2,1
20250604 15:12,165.35,165.35,165.35,165.35,1
20250604 15:14,165.05,165.05,165.05,165.05,1
20250604 15:21,169.05,169.05,169.05,169.05,1
20250604 15:23,166.3,166.3,166.25,166.25,5
20250604 15:25,167.6,167.6,167.6,167.6,1
20250604 15:26,169.15,169.15,169.15,169.15,1
20250604 15:28,167.3,167.8,167.3,167.8,40
20250605 09:16,154.4,160.75,154.4,160.75,5
20250605 09:19,155.8,155.8,155.8,155.8,1
20250605 09:20,153.0,156.45,153.0,156.45,3
20250605 09:22,145.9,145.9,145.15,145.15,2
20250605 09:27,133.15,133.15,126.55,126.55,41
20250605 09:28,129.95,129.95,129.95,129.95,1
20250605 09:34,124.35,124.35,124.35,124.35,1
20250605 09:35,124.9,124.9,124.9,124.9,1
20250605 09:36,121.5,121.5,121.5,121.5,1
20250605 09:38,124.0,124.0,123.4,123.4,2
20250605 09:43,122.95,122.95,122.95,122.95,1
20250605 09:45,119.9,144.05,119.9,144.05,24
20250605 09:46,117.45,119.65,117.45,119.55,6
20250605 09:49,117.35,117.35,117.35,117.35,1
20250605 09:50,116.9,116.9,116.1,116.1,2
20250605 09:51,113.95,116.4,113.95,116.4,6
20250605 09:52,114.8,114.8,114.8,114.8,1
20250605 09:53,113.1,113.1,113.1,113.1,1
20250605 09:56,114.55,114.55,114.55,114.55,1
20250605 09:57,114.55,114.55,114.55,114.55,1
20250605 10:00,115.25,115.25,114.9,114.9,4
20250605 10:01,114.55,114.55,114.55,114.55,1
20250605 10:02,112.7,112.7,112.7,112.7,1
20250605 10:07,116.55,116.55,116.55,116.55,1
20250605 10:10,116.55,117.25,116.55,117.25,5
20250605 10:11,115.85,115.85,115.85,115.85,1
20250605 10:13,117.8,117.8,117.8,117.8,1
20250605 10:14,118.05,118.1,118.05,118.1,2
20250605 10:15,116.45,116.45,116.45,116.45,1
20250605 10:18,118.9,118.9,118.9,118.9,1
20250605 10:21,117.95,117.95,117.95,117.95,1
20250605 10:25,117.0,117.0,117.0,117.0,1
20250605 10:31,118.55,118.55,118.55,118.55,1
20250605 10:33,117.25,117.25,117.25,117.25,3
20250605 10:37,118.95,118.95,118.95,118.95,1
20250605 10:39,119.15,119.15,118.55,118.55,4
20250605 10:40,117.4,117.4,117.4,117.4,1
20250605 10:48,119.0,119.0,119.0,119.0,2
20250605 10:50,119.75,119.75,119.75,119.75,4
20250605 10:52,122.0,122.0,122.0,122.0,1
20250605 10:53,123.25,123.25,123.25,123.25,1
20250605 10:55,123.95,124.6,123.95,124.6,6
20250605 11:00,124.45,125.0,124.45,125.0,5
20250605 11:21,118.1,118.1,118.05,118.05,5
20250605 11:22,116.1,116.1,116.1,116.1,1
20250605 11:23,115.0,115.4,115.0,115.4,9
20250605 11:25,115.0,115.0,112.6,112.6,5
20250605 11:27,114.0,114.0,114.0,114.0,1
20250605 11:42,116.85,116.85,116.85,116.85,1
20250605 11:49,119.0,119.0,119.0,119.0,1
20250605 11:53,117.5,117.5,117.5,117.5,1
20250605 11:55,117.2,117.25,117.2,117.25,3
20250605 12:01,112.5,112.5,112.5,112.5,1
20250605 12:03,108.85,109.3,108.85,109.3,4
20250605 12:06,105.9,105.9,101.75,103.0,18
20250605 12:07,104.75,106.45,102.2,106.45,4
20250605 12:10,102.4,102.4,102.4,102.4,5
20250605 12:11,101.0,101.0,101.0,101.0,1
20250605 12:13,95.0,96.85,94.2,94.2,11
20250605 12:14,97.1,97.1,97.1,97.1,2
20250605 12:17,92.2,93.45,92.15,93.45,24
20250605 12:18,92.95,97.15,92.95,97.15,10
20250605 12:19,94.25,95.8,94.15,95.8,10
20250605 12:20,94.4,94.4,93.4,93.95,15
20250605 12:21,94.55,94.95,93.85,93.85,5
20250605 12:23,96.05,96.05,96.05,96.05,1
20250605 12:24,95.85,95.85,95.45,95.45,2
20250605 12:25,95.45,95.45,95.45,95.45,3
20250605 12:26,95.7,99.55,95.7,99.55,3
20250605 12:27,98.5,98.5,98.45,98.45,4
20250605 12:29,96.3,96.3,96.3,96.3,1
20250605 12:32,94.95,94.95,94.55,94.55,2
20250605 12:35,97.0,97.6,97.0,97.6,2
20250605 12:38,96.0,96.0,96.0,96.0,2
20250605 12:40,95.6,95.6,95.6,95.6,2
20250605 12:44,95.65,99.0,95.65,99.0,28
20250605 12:47,96.9,96.95,96.9,96.95,2
20250605 12:49,97.65,97.65,97.65,97.65,2
20250605 12:51,97.25,97.25,97.25,97.25,2
20250605 12:52,96.5,96.5,96.5,96.5,1
20250605 12:54,95.05,95.05,95.0,95.0,8
20250605 12:56,96.35,96.35,96.35,96.35,1
20250605 12:58,97.05,97.05,97.05,97.05,4
20250605 12:59,97.05,97.05,97.05,97.05,1
