Metric,Value
Total Trades,7
Win Rate (%),14.29
Total P&L,-8790.24
Total Return (%),-8.79
Max Drawdown (%),8.91
Profit Factor,1.24
Avg Win,2294.72
Avg Loss,-1847.49
